Subject,Body,From: (Name),From: (Address)
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-27 at 00:10 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-27 at 00:05 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-26 at 23:20 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-26 at 06:55 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-26 at 06:50.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-26 at 06:50 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-26 at 02:30. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-26 at 01:35 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-26 00:39 (11137.9)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-26 00:24 (9380.5)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-26 00:19 (15996.4)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-26 00:18 (7478.9)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-25 at 22:40 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-25 at 08:40 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-25 at 08:10 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-25 at 08:05 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-25 at 08:00.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-25 at 00:10. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-24 at 23:00 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-24 at 07:20 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-24 at 04:40 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-24 at 04:35 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-24 at 04:15 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-24 at 04:10 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-24 at 04:05 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-24 at 03:55 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-24 at 03:10 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-24 at 03:05 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-24 at 01:55 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-24 at 01:50 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-23 at 23:35 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - Site B,"This email is to inform you that Site B is working properly at 2023-06-23 22:20.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - Site B,"This email is to inform you that Site B is not working properly at 2023-06-23 21:20.
This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-23 at 06:35 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Up,"usig up at 2023-06-23 00:17.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-22 at 22:30 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Down,"usig missing data for 10 minutes at 2023-06-22 20:47.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-22 at 07:55 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-22 at 07:35 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-22 at 07:30.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-22 at 07:30 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-22 at 01:05. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - Site A,"This email is to inform you that Site A is working properly at 2023-06-22 01:00.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - Site A,"This email is to inform you that Site A is not working properly at 2023-06-21 23:50.
This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-21 at 23:50 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-21 13:20 (10287.5)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-21 13:19 (9604.2)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-21 at 07:00 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-21 at 06:50.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-21 at 02:45. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-21 at 02:10 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-21 at 02:05 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-21 at 02:00 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-21 at 01:55 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - Site A,"This email is to inform you that Site A is working properly at 2023-06-21 01:55.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-21 at 00:35 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - Site A,"This email is to inform you that Site A is not working properly at 2023-06-20 22:40.
This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-20 at 12:20.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-20 at 11:15. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-20 11:00.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-20 09:15. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-20 at 06:50 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-20 at 06:45.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-20 at 02:25. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-20 at 01:25 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-20 at 01:20 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-20 at 01:10 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-20 at 01:05 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-20 at 00:40 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-20 at 00:30 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-20 at 00:25 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-20 at 00:15 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-19 at 23:45 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-19 11:49 (12902.1)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-19 11:27 (5408.5)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-19 at 06:50 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-19 at 06:40 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-19 at 06:35.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-19 at 02:20. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-19 at 01:50 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-19 at 01:10 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-18 10:22 (11212.3)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-18 10:19 (6469.4)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-18 08:30 (11672.4)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-18 08:23 (5916.7)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-18 08:14 (24733.3)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-18 07:58 (6579.5)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-16 21:59 (10512.6)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-16 21:58 (9317.4)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-16 21:48 (16157.7)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-16 21:40 (6452.2)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-16 21:38 (12522.3)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-16 21:37 (9333.5)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-16 21:27 (13144.0)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-16 21:24 (9615.2)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-16 20:57 (13038.7)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-16 20:49 (3988.2)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-16 06:29 (11358.4)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-16 06:19 (9955.1)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-16 06:14 (12004.9)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-16 06:01 (5444.1)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - Site B,"This email is to inform you that Site B is working properly at 2023-06-16 00:35.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - Site B,"This email is to inform you that Site B is not working properly at 2023-06-16 00:20.
This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 4,"This email is to inform you that TDL Path 4 is working properly at 2023-06-13 at 18:40.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 4,"This email is to inform you that TDL Path 4 is not working properly at 2023-06-13 at 17:55. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-09 at 13:25.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-09 at 13:20. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-09 at 13:05.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-09 at 12:55. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-09 at 11:20 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-09 at 11:10 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-09 at 11:05 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-09 at 10:50.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-08 at 20:50. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-08 at 20:25 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-08 at 08:45 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-08 at 08:45 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
